TOP.5bf45137.000b9052	START
TOP.5bf45137.000b9052	user_options->brain_port	6863
TOP.5bf45137.000b9052	user_options->brain_session	0
TOP.5bf45137.000b9052	hashes->hashfile	.\deschacht25.txt
TOP.5bf45137.000b9052	hashes->hashlist_mode	4
TOP.5bf45137.000b9052	hashes->hashlist_format	0
TOP.5bf45137.000b9052	hashes->hashes_cnt	0
TOP.5bf45137.000b9052	hashes->digests_cnt	1
TOP.5bf45137.000b9052	hashes->digests_done	0
TOP.5bf45137.000b9052	hashes->salts_cnt	1
TOP.5bf45137.000b9052	hashes->salts_done	0
TOP.5bf4514c.0001bb0c	START
TOP.5bf4514c.0001bb0c	user_options->separator	:
TOP.5bf4514c.0001bb0c	user_options->encoding_from	utf-8
TOP.5bf4514c.0001bb0c	user_options->encoding_to	utf-8
TOP.5bf4514c.0001bb0c	user_options->rule_buf_l	:
TOP.5bf4514c.0001bb0c	user_options->rule_buf_r	:
TOP.5bf4514c.0001bb0c	user_options->session	hashcat
TOP.5bf4514c.0001bb0c	user_options->limit	0
TOP.5bf4514c.0001bb0c	user_options->skip	0
TOP.5bf4514c.0001bb0c	user_options->attack_mode	0
TOP.5bf4514c.0001bb0c	user_options->benchmark	0
TOP.5bf4514c.0001bb0c	user_options->benchmark_all	0
TOP.5bf4514c.0001bb0c	user_options->bitmap_max	24
TOP.5bf4514c.0001bb0c	user_options->bitmap_min	16
TOP.5bf4514c.0001bb0c	user_options->debug_mode	0
TOP.5bf4514c.0001bb0c	user_options->example_hashes	0
TOP.5bf4514c.0001bb0c	user_options->force	0
TOP.5bf4514c.0001bb0c	user_options->gpu_temp_abort	90
TOP.5bf4514c.0001bb0c	user_options->gpu_temp_disable	0
TOP.5bf4514c.0001bb0c	user_options->hash_mode	1800
TOP.5bf4514c.0001bb0c	user_options->hex_charset	0
TOP.5bf4514c.0001bb0c	user_options->hex_salt	0
TOP.5bf4514c.0001bb0c	user_options->hex_wordlist	0
TOP.5bf4514c.0001bb0c	user_options->increment	0
TOP.5bf4514c.0001bb0c	user_options->increment_max	256
TOP.5bf4514c.0001bb0c	user_options->increment_min	1
TOP.5bf4514c.0001bb0c	user_options->keep_guessing	0
TOP.5bf4514c.0001bb0c	user_options->kernel_accel	0
TOP.5bf4514c.0001bb0c	user_options->kernel_loops	0
TOP.5bf4514c.0001bb0c	user_options->keyspace	0
TOP.5bf4514c.0001bb0c	user_options->left	0
TOP.5bf4514c.0001bb0c	user_options->logfile_disable	0
TOP.5bf4514c.0001bb0c	user_options->loopback	0
TOP.5bf4514c.0001bb0c	user_options->machine_readable	0
TOP.5bf4514c.0001bb0c	user_options->markov_classic	0
TOP.5bf4514c.0001bb0c	user_options->markov_disable	0
TOP.5bf4514c.0001bb0c	user_options->markov_threshold	256
TOP.5bf4514c.0001bb0c	user_options->nvidia_spin_damp	100
TOP.5bf4514c.0001bb0c	user_options->opencl_info	0
TOP.5bf4514c.0001bb0c	user_options->opencl_vector_width	0
TOP.5bf4514c.0001bb0c	user_options->optimized_kernel_enable	1
TOP.5bf4514c.0001bb0c	user_options->outfile_autohex	1
TOP.5bf4514c.0001bb0c	user_options->outfile_check_timer	5
TOP.5bf4514c.0001bb0c	user_options->outfile_format	3
TOP.5bf4514c.0001bb0c	user_options->wordlist_autohex_disable	0
TOP.5bf4514c.0001bb0c	user_options->potfile_disable	0
TOP.5bf4514c.0001bb0c	user_options->progress_only	0
TOP.5bf4514c.0001bb0c	user_options->quiet	0
TOP.5bf4514c.0001bb0c	user_options->remove	0
TOP.5bf4514c.0001bb0c	user_options->remove_timer	60
TOP.5bf4514c.0001bb0c	user_options->restore	0
TOP.5bf4514c.0001bb0c	user_options->restore_disable	0
TOP.5bf4514c.0001bb0c	user_options->restore_timer	60
TOP.5bf4514c.0001bb0c	user_options->rp_files_cnt	0
TOP.5bf4514c.0001bb0c	user_options->rp_gen	0
TOP.5bf4514c.0001bb0c	user_options->rp_gen_func_max	4
TOP.5bf4514c.0001bb0c	user_options->rp_gen_func_min	1
TOP.5bf4514c.0001bb0c	user_options->rp_gen_seed	0
TOP.5bf4514c.0001bb0c	user_options->runtime	0
TOP.5bf4514c.0001bb0c	user_options->scrypt_tmto	0
TOP.5bf4514c.0001bb0c	user_options->segment_size	33554432
TOP.5bf4514c.0001bb0c	user_options->self_test_disable	0
TOP.5bf4514c.0001bb0c	user_options->slow_candidates	0
TOP.5bf4514c.0001bb0c	user_options->show	0
TOP.5bf4514c.0001bb0c	user_options->speed_only	0
TOP.5bf4514c.0001bb0c	user_options->status	0
TOP.5bf4514c.0001bb0c	user_options->status_timer	10
TOP.5bf4514c.0001bb0c	user_options->stdout_flag	0
TOP.5bf4514c.0001bb0c	user_options->usage	0
TOP.5bf4514c.0001bb0c	user_options->username	0
TOP.5bf4514c.0001bb0c	user_options->veracrypt_pim	0
TOP.5bf4514c.0001bb0c	user_options->version	0
TOP.5bf4514c.0001bb0c	user_options->workload_profile	2
TOP.5bf4514c.0001bb0c	user_options->brain_client	0
TOP.5bf4514c.0001bb0c	user_options->brain_client_features	3
TOP.5bf4514c.0001bb0c	user_options->brain_server	0
TOP.5bf4514c.0001bb0c	user_options->brain_port	6863
TOP.5bf4514c.0001bb0c	user_options->brain_session	0
TOP.5bf4514c.0001bb0c	hashes->hashfile	.\deschacht25.txt
TOP.5bf4514c.0001bb0c	hashes->hashlist_mode	4
TOP.5bf4514c.0001bb0c	hashes->hashlist_format	0
TOP.5bf4514c.0001bb0c	hashes->hashes_cnt	0
TOP.5bf4514c.0001bb0c	hashes->digests_cnt	1
TOP.5bf4514c.0001bb0c	hashes->digests_done	0
TOP.5bf4514c.0001bb0c	hashes->salts_cnt	1
TOP.5bf4514c.0001bb0c	hashes->salts_done	0
TOP.5bf4514c.0001bb0c	SUB.5bf45154.00006e65	START
TOP.5bf4514c.0001bb0c	SUB.5bf45154.00006e65	straight_ctx->dict	.\ugh.txt
TOP.5bf4514c.0001bb0c	SUB.5bf45154.00006e65	runtime_start	1542738260
TOP.5bf4514c.0001bb0c	SUB.5bf45154.00006e65	runtime_stop	1542738260
TOP.5bf4514c.0001bb0c	SUB.5bf45154.00006e65	status-after-work	5
TOP.5bf4514c.0001bb0c	SUB.5bf45154.00006e65	STOP
TOP.5bf4514c.0001bb0c	proc_start	1542738252
TOP.5bf4514c.0001bb0c	proc_stop	1542738261
TOP.5bf4514c.0001bb0c	STOP
TOP.5bf45168.0009ab4e	START
TOP.5bf45168.0009ab4e	user_options->separator	:
TOP.5bf45168.0009ab4e	user_options->encoding_from	utf-8
TOP.5bf45168.0009ab4e	user_options->encoding_to	utf-8
TOP.5bf45168.0009ab4e	user_options->outfile	output.txt.pls
TOP.5bf45168.0009ab4e	user_options->rule_buf_l	:
TOP.5bf45168.0009ab4e	user_options->rule_buf_r	:
TOP.5bf45168.0009ab4e	user_options->session	hashcat
TOP.5bf45168.0009ab4e	user_options->limit	0
TOP.5bf45168.0009ab4e	user_options->skip	0
TOP.5bf45168.0009ab4e	user_options->attack_mode	0
TOP.5bf45168.0009ab4e	user_options->benchmark	0
TOP.5bf45168.0009ab4e	user_options->benchmark_all	0
TOP.5bf45168.0009ab4e	user_options->bitmap_max	24
TOP.5bf45168.0009ab4e	user_options->bitmap_min	16
TOP.5bf45168.0009ab4e	user_options->debug_mode	0
TOP.5bf45168.0009ab4e	user_options->example_hashes	0
TOP.5bf45168.0009ab4e	user_options->force	0
TOP.5bf45168.0009ab4e	user_options->gpu_temp_abort	90
TOP.5bf45168.0009ab4e	user_options->gpu_temp_disable	0
TOP.5bf45168.0009ab4e	user_options->hash_mode	1800
TOP.5bf45168.0009ab4e	user_options->hex_charset	0
TOP.5bf45168.0009ab4e	user_options->hex_salt	0
TOP.5bf45168.0009ab4e	user_options->hex_wordlist	0
TOP.5bf45168.0009ab4e	user_options->increment	0
TOP.5bf45168.0009ab4e	user_options->increment_max	256
TOP.5bf45168.0009ab4e	user_options->increment_min	1
TOP.5bf45168.0009ab4e	user_options->keep_guessing	0
TOP.5bf45168.0009ab4e	user_options->kernel_accel	0
TOP.5bf45168.0009ab4e	user_options->kernel_loops	0
TOP.5bf45168.0009ab4e	user_options->keyspace	0
TOP.5bf45168.0009ab4e	user_options->left	0
TOP.5bf45168.0009ab4e	user_options->logfile_disable	0
TOP.5bf45168.0009ab4e	user_options->loopback	0
TOP.5bf45168.0009ab4e	user_options->machine_readable	0
TOP.5bf45168.0009ab4e	user_options->markov_classic	0
TOP.5bf45168.0009ab4e	user_options->markov_disable	0
TOP.5bf45168.0009ab4e	user_options->markov_threshold	256
TOP.5bf45168.0009ab4e	user_options->nvidia_spin_damp	100
TOP.5bf45168.0009ab4e	user_options->opencl_info	0
TOP.5bf45168.0009ab4e	user_options->opencl_vector_width	0
TOP.5bf45168.0009ab4e	user_options->optimized_kernel_enable	1
TOP.5bf45168.0009ab4e	user_options->outfile_autohex	1
TOP.5bf45168.0009ab4e	user_options->outfile_check_timer	5
TOP.5bf45168.0009ab4e	user_options->outfile_format	3
TOP.5bf45168.0009ab4e	user_options->wordlist_autohex_disable	0
TOP.5bf45168.0009ab4e	user_options->potfile_disable	0
TOP.5bf45168.0009ab4e	user_options->progress_only	0
TOP.5bf45168.0009ab4e	user_options->quiet	0
TOP.5bf45168.0009ab4e	user_options->remove	0
TOP.5bf45168.0009ab4e	user_options->remove_timer	60
TOP.5bf45168.0009ab4e	user_options->restore	0
TOP.5bf45168.0009ab4e	user_options->restore_disable	0
TOP.5bf45168.0009ab4e	user_options->restore_timer	60
TOP.5bf45168.0009ab4e	user_options->rp_files_cnt	0
TOP.5bf45168.0009ab4e	user_options->rp_gen	0
TOP.5bf45168.0009ab4e	user_options->rp_gen_func_max	4
TOP.5bf45168.0009ab4e	user_options->rp_gen_func_min	1
TOP.5bf45168.0009ab4e	user_options->rp_gen_seed	0
TOP.5bf45168.0009ab4e	user_options->runtime	0
TOP.5bf45168.0009ab4e	user_options->scrypt_tmto	0
TOP.5bf45168.0009ab4e	user_options->segment_size	33554432
TOP.5bf45168.0009ab4e	user_options->self_test_disable	0
TOP.5bf45168.0009ab4e	user_options->slow_candidates	0
TOP.5bf45168.0009ab4e	user_options->show	0
TOP.5bf45168.0009ab4e	user_options->speed_only	0
TOP.5bf45168.0009ab4e	user_options->status	0
TOP.5bf45168.0009ab4e	user_options->status_timer	10
TOP.5bf45168.0009ab4e	user_options->stdout_flag	0
TOP.5bf45168.0009ab4e	user_options->usage	0
TOP.5bf45168.0009ab4e	user_options->username	0
TOP.5bf45168.0009ab4e	user_options->veracrypt_pim	0
TOP.5bf45168.0009ab4e	user_options->version	0
TOP.5bf45168.0009ab4e	user_options->workload_profile	2
TOP.5bf45168.0009ab4e	user_options->brain_client	0
TOP.5bf45168.0009ab4e	user_options->brain_client_features	3
TOP.5bf45168.0009ab4e	user_options->brain_server	0
TOP.5bf45168.0009ab4e	user_options->brain_port	6863
TOP.5bf45168.0009ab4e	user_options->brain_session	0
TOP.5bf45168.0009ab4e	hashes->hashfile	.\deschacht25.txt
TOP.5bf45168.0009ab4e	hashes->hashlist_mode	4
TOP.5bf45168.0009ab4e	hashes->hashlist_format	0
TOP.5bf45168.0009ab4e	hashes->hashes_cnt	0
TOP.5bf45168.0009ab4e	hashes->digests_cnt	1
TOP.5bf45168.0009ab4e	hashes->digests_done	0
TOP.5bf45168.0009ab4e	hashes->salts_cnt	1
TOP.5bf45168.0009ab4e	hashes->salts_done	0
TOP.5bf45168.0009ab4e	SUB.5bf4516d.00000f9a	START
TOP.5bf45168.0009ab4e	SUB.5bf4516d.00000f9a	straight_ctx->dict	.\ugh.txt
TOP.5bf45168.0009ab4e	SUB.5bf4516d.00000f9a	runtime_start	1542738285
TOP.5bf45168.0009ab4e	SUB.5bf4516d.00000f9a	runtime_stop	1542738285
TOP.5bf45168.0009ab4e	SUB.5bf4516d.00000f9a	status-after-work	5
TOP.5bf45168.0009ab4e	SUB.5bf4516d.00000f9a	STOP
TOP.5bf45168.0009ab4e	proc_start	1542738280
TOP.5bf45168.0009ab4e	proc_stop	1542738286
TOP.5bf45168.0009ab4e	STOP
TOP.5bf4518b.00020bfe	START
TOP.5bf4518b.00020bfe	user_options->separator	:
TOP.5bf4518b.00020bfe	user_options->encoding_from	utf-8
TOP.5bf4518b.00020bfe	user_options->encoding_to	utf-8
TOP.5bf4518b.00020bfe	user_options->outfile	output.txt.pls
TOP.5bf4518b.00020bfe	user_options->rule_buf_l	:
TOP.5bf4518b.00020bfe	user_options->rule_buf_r	:
TOP.5bf4518b.00020bfe	user_options->session	hashcat
TOP.5bf4518b.00020bfe	user_options->limit	0
TOP.5bf4518b.00020bfe	user_options->skip	0
TOP.5bf4518b.00020bfe	user_options->attack_mode	0
TOP.5bf4518b.00020bfe	user_options->benchmark	0
TOP.5bf4518b.00020bfe	user_options->benchmark_all	0
TOP.5bf4518b.00020bfe	user_options->bitmap_max	24
TOP.5bf4518b.00020bfe	user_options->bitmap_min	16
TOP.5bf4518b.00020bfe	user_options->debug_mode	0
TOP.5bf4518b.00020bfe	user_options->example_hashes	0
TOP.5bf4518b.00020bfe	user_options->force	0
TOP.5bf4518b.00020bfe	user_options->gpu_temp_abort	90
TOP.5bf4518b.00020bfe	user_options->gpu_temp_disable	0
TOP.5bf4518b.00020bfe	user_options->hash_mode	1800
TOP.5bf4518b.00020bfe	user_options->hex_charset	0
TOP.5bf4518b.00020bfe	user_options->hex_salt	0
TOP.5bf4518b.00020bfe	user_options->hex_wordlist	0
TOP.5bf4518b.00020bfe	user_options->increment	0
TOP.5bf4518b.00020bfe	user_options->increment_max	256
TOP.5bf4518b.00020bfe	user_options->increment_min	1
TOP.5bf4518b.00020bfe	user_options->keep_guessing	0
TOP.5bf4518b.00020bfe	user_options->kernel_accel	0
TOP.5bf4518b.00020bfe	user_options->kernel_loops	0
TOP.5bf4518b.00020bfe	user_options->keyspace	0
TOP.5bf4518b.00020bfe	user_options->left	0
TOP.5bf4518b.00020bfe	user_options->logfile_disable	0
TOP.5bf4518b.00020bfe	user_options->loopback	0
TOP.5bf4518b.00020bfe	user_options->machine_readable	0
TOP.5bf4518b.00020bfe	user_options->markov_classic	0
TOP.5bf4518b.00020bfe	user_options->markov_disable	0
TOP.5bf4518b.00020bfe	user_options->markov_threshold	256
TOP.5bf4518b.00020bfe	user_options->nvidia_spin_damp	100
TOP.5bf4518b.00020bfe	user_options->opencl_info	0
TOP.5bf4518b.00020bfe	user_options->opencl_vector_width	0
TOP.5bf4518b.00020bfe	user_options->optimized_kernel_enable	1
TOP.5bf4518b.00020bfe	user_options->outfile_autohex	1
TOP.5bf4518b.00020bfe	user_options->outfile_check_timer	5
TOP.5bf4518b.00020bfe	user_options->outfile_format	3
TOP.5bf4518b.00020bfe	user_options->wordlist_autohex_disable	0
TOP.5bf4518b.00020bfe	user_options->potfile_disable	0
TOP.5bf4518b.00020bfe	user_options->progress_only	0
TOP.5bf4518b.00020bfe	user_options->quiet	0
TOP.5bf4518b.00020bfe	user_options->remove	0
TOP.5bf4518b.00020bfe	user_options->remove_timer	60
TOP.5bf4518b.00020bfe	user_options->restore	0
TOP.5bf4518b.00020bfe	user_options->restore_disable	0
TOP.5bf4518b.00020bfe	user_options->restore_timer	60
TOP.5bf4518b.00020bfe	user_options->rp_files_cnt	0
TOP.5bf4518b.00020bfe	user_options->rp_gen	0
TOP.5bf4518b.00020bfe	user_options->rp_gen_func_max	4
TOP.5bf4518b.00020bfe	user_options->rp_gen_func_min	1
TOP.5bf4518b.00020bfe	user_options->rp_gen_seed	0
TOP.5bf4518b.00020bfe	user_options->runtime	0
TOP.5bf4518b.00020bfe	user_options->scrypt_tmto	0
TOP.5bf4518b.00020bfe	user_options->segment_size	33554432
TOP.5bf4518b.00020bfe	user_options->self_test_disable	0
TOP.5bf4518b.00020bfe	user_options->slow_candidates	0
TOP.5bf4518b.00020bfe	user_options->show	0
TOP.5bf4518b.00020bfe	user_options->speed_only	0
TOP.5bf4518b.00020bfe	user_options->status	0
TOP.5bf4518b.00020bfe	user_options->status_timer	10
TOP.5bf4518b.00020bfe	user_options->stdout_flag	0
TOP.5bf4518b.00020bfe	user_options->usage	0
TOP.5bf4518b.00020bfe	user_options->username	0
TOP.5bf4518b.00020bfe	user_options->veracrypt_pim	0
TOP.5bf4518b.00020bfe	user_options->version	0
TOP.5bf4518b.00020bfe	user_options->workload_profile	2
TOP.5bf4518b.00020bfe	user_options->brain_client	0
TOP.5bf4518b.00020bfe	user_options->brain_client_features	3
TOP.5bf4518b.00020bfe	user_options->brain_server	0
TOP.5bf4518b.00020bfe	user_options->brain_port	6863
TOP.5bf4518b.00020bfe	user_options->brain_session	0
TOP.5bf4518b.00020bfe	hashes->hashfile	.\deschacht25.txt
TOP.5bf4518b.00020bfe	hashes->hashlist_mode	4
TOP.5bf4518b.00020bfe	hashes->hashlist_format	0
TOP.5bf4518b.00020bfe	hashes->hashes_cnt	0
TOP.5bf4518b.00020bfe	hashes->digests_cnt	1
TOP.5bf4518b.00020bfe	hashes->digests_done	0
TOP.5bf4518b.00020bfe	hashes->salts_cnt	1
TOP.5bf4518b.00020bfe	hashes->salts_done	0
TOP.5bf4518b.00020bfe	SUB.5bf4518f.00072265	START
TOP.5bf4518b.00020bfe	SUB.5bf4518f.00072265	straight_ctx->dict	.\ugh.txt.cupp.txt
TOP.5bf4518b.00020bfe	SUB.5bf4518f.00072265	runtime_start	1542738319
TOP.5bf4518b.00020bfe	SUB.5bf4518f.00072265	runtime_stop	1542738330
TOP.5bf4518b.00020bfe	SUB.5bf4518f.00072265	status-after-work	5
TOP.5bf4518b.00020bfe	SUB.5bf4518f.00072265	STOP
TOP.5bf4518b.00020bfe	proc_start	1542738315
TOP.5bf4518b.00020bfe	proc_stop	1542738331
TOP.5bf4518b.00020bfe	STOP
TOP.5bf452f8.0005f9b9	START
TOP.5bf452f8.0005f9b9	user_options->separator	:
TOP.5bf452f8.0005f9b9	user_options->encoding_from	utf-8
TOP.5bf452f8.0005f9b9	user_options->encoding_to	utf-8
TOP.5bf452f8.0005f9b9	user_options->outfile	output.txt.pls
TOP.5bf452f8.0005f9b9	user_options->rule_buf_l	:
TOP.5bf452f8.0005f9b9	user_options->rule_buf_r	:
TOP.5bf452f8.0005f9b9	user_options->session	hashcat
TOP.5bf452f8.0005f9b9	user_options->limit	0
TOP.5bf452f8.0005f9b9	user_options->skip	0
TOP.5bf452f8.0005f9b9	user_options->attack_mode	0
TOP.5bf452f8.0005f9b9	user_options->benchmark	0
TOP.5bf452f8.0005f9b9	user_options->benchmark_all	0
TOP.5bf452f8.0005f9b9	user_options->bitmap_max	24
TOP.5bf452f8.0005f9b9	user_options->bitmap_min	16
TOP.5bf452f8.0005f9b9	user_options->debug_mode	0
TOP.5bf452f8.0005f9b9	user_options->example_hashes	0
TOP.5bf452f8.0005f9b9	user_options->force	0
TOP.5bf452f8.0005f9b9	user_options->gpu_temp_abort	90
TOP.5bf452f8.0005f9b9	user_options->gpu_temp_disable	0
TOP.5bf452f8.0005f9b9	user_options->hash_mode	1800
TOP.5bf452f8.0005f9b9	user_options->hex_charset	0
TOP.5bf452f8.0005f9b9	user_options->hex_salt	0
TOP.5bf452f8.0005f9b9	user_options->hex_wordlist	0
TOP.5bf452f8.0005f9b9	user_options->increment	0
TOP.5bf452f8.0005f9b9	user_options->increment_max	256
TOP.5bf452f8.0005f9b9	user_options->increment_min	1
TOP.5bf452f8.0005f9b9	user_options->keep_guessing	0
TOP.5bf452f8.0005f9b9	user_options->kernel_accel	0
TOP.5bf452f8.0005f9b9	user_options->kernel_loops	0
TOP.5bf452f8.0005f9b9	user_options->keyspace	0
TOP.5bf452f8.0005f9b9	user_options->left	0
TOP.5bf452f8.0005f9b9	user_options->logfile_disable	0
TOP.5bf452f8.0005f9b9	user_options->loopback	0
TOP.5bf452f8.0005f9b9	user_options->machine_readable	0
TOP.5bf452f8.0005f9b9	user_options->markov_classic	0
TOP.5bf452f8.0005f9b9	user_options->markov_disable	0
TOP.5bf452f8.0005f9b9	user_options->markov_threshold	256
TOP.5bf452f8.0005f9b9	user_options->nvidia_spin_damp	100
TOP.5bf452f8.0005f9b9	user_options->opencl_info	0
TOP.5bf452f8.0005f9b9	user_options->opencl_vector_width	0
TOP.5bf452f8.0005f9b9	user_options->optimized_kernel_enable	1
TOP.5bf452f8.0005f9b9	user_options->outfile_autohex	1
TOP.5bf452f8.0005f9b9	user_options->outfile_check_timer	5
TOP.5bf452f8.0005f9b9	user_options->outfile_format	3
TOP.5bf452f8.0005f9b9	user_options->wordlist_autohex_disable	0
TOP.5bf452f8.0005f9b9	user_options->potfile_disable	0
TOP.5bf452f8.0005f9b9	user_options->progress_only	0
TOP.5bf452f8.0005f9b9	user_options->quiet	0
TOP.5bf452f8.0005f9b9	user_options->remove	0
TOP.5bf452f8.0005f9b9	user_options->remove_timer	60
TOP.5bf452f8.0005f9b9	user_options->restore	0
TOP.5bf452f8.0005f9b9	user_options->restore_disable	0
TOP.5bf452f8.0005f9b9	user_options->restore_timer	60
TOP.5bf452f8.0005f9b9	user_options->rp_files_cnt	0
TOP.5bf452f8.0005f9b9	user_options->rp_gen	0
TOP.5bf452f8.0005f9b9	user_options->rp_gen_func_max	4
TOP.5bf452f8.0005f9b9	user_options->rp_gen_func_min	1
TOP.5bf452f8.0005f9b9	user_options->rp_gen_seed	0
TOP.5bf452f8.0005f9b9	user_options->runtime	0
TOP.5bf452f8.0005f9b9	user_options->scrypt_tmto	0
TOP.5bf452f8.0005f9b9	user_options->segment_size	33554432
TOP.5bf452f8.0005f9b9	user_options->self_test_disable	0
TOP.5bf452f8.0005f9b9	user_options->slow_candidates	0
TOP.5bf452f8.0005f9b9	user_options->show	0
TOP.5bf452f8.0005f9b9	user_options->speed_only	0
TOP.5bf452f8.0005f9b9	user_options->status	0
TOP.5bf452f8.0005f9b9	user_options->status_timer	10
TOP.5bf452f8.0005f9b9	user_options->stdout_flag	0
TOP.5bf452f8.0005f9b9	user_options->usage	0
TOP.5bf452f8.0005f9b9	user_options->username	0
TOP.5bf452f8.0005f9b9	user_options->veracrypt_pim	0
TOP.5bf452f8.0005f9b9	user_options->version	0
TOP.5bf452f8.0005f9b9	user_options->workload_profile	2
TOP.5bf452f8.0005f9b9	user_options->brain_client	0
TOP.5bf452f8.0005f9b9	user_options->brain_client_features	3
TOP.5bf452f8.0005f9b9	user_options->brain_server	0
TOP.5bf452f8.0005f9b9	user_options->brain_port	6863
TOP.5bf452f8.0005f9b9	user_options->brain_session	0
TOP.5bf452f8.0005f9b9	hashes->hashfile	.\deschacht25.txt
TOP.5bf452f8.0005f9b9	hashes->hashlist_mode	4
TOP.5bf452f8.0005f9b9	hashes->hashlist_format	0
TOP.5bf452f8.0005f9b9	hashes->hashes_cnt	0
TOP.5bf452f8.0005f9b9	hashes->digests_cnt	1
TOP.5bf452f8.0005f9b9	hashes->digests_done	0
TOP.5bf452f8.0005f9b9	hashes->salts_cnt	1
TOP.5bf452f8.0005f9b9	hashes->salts_done	0
TOP.5bf452f8.0005f9b9	SUB.5bf452fc.000c1539	START
TOP.5bf452f8.0005f9b9	SUB.5bf452fc.000c1539	straight_ctx->dict	.\ugh.txt.cupp.txt
TOP.5bf452f8.0005f9b9	SUB.5bf452fc.000c1539	runtime_start	1542738685
TOP.5bf452f8.0005f9b9	SUB.5bf452fc.000c1539	runtime_stop	1542738713
TOP.5bf452f8.0005f9b9	SUB.5bf452fc.000c1539	status-after-work	5
TOP.5bf452f8.0005f9b9	SUB.5bf452fc.000c1539	STOP
TOP.5bf452f8.0005f9b9	proc_start	1542738680
